param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,mean_test_score,std_test_score,rank_test_score
,entropy,,5,50,0.4635236405315359,0.0009584787905772476,1
,entropy,,20,50,0.4631899468491503,0.0005083508939606297,2
,entropy,20,20,10,0.4627527378270038,0.0014991996211719252,3
,entropy,20,20,2,0.4627527378270038,0.0014991996211719252,3
,entropy,20,20,50,0.46272658209713313,0.0010517115891810788,5
,entropy,20,5,50,0.46267612928361923,0.0014795067097004083,6
,entropy,,20,10,0.4624663189463014,0.0012527916492612997,7
,entropy,,20,2,0.4624663189463014,0.0012527916492612997,7
,entropy,20,1,50,0.4620835801429533,0.0012992583880088665,9
,entropy,,1,50,0.4613375537595461,0.0018294310061808458,10
,gini,,20,10,0.46132996511410673,0.0011398395787299185,11
,gini,,20,2,0.46132996511410673,0.0011398395787299185,11
,gini,20,20,10,0.46074269527973083,0.0020490770320319564,13
,gini,20,20,2,0.46074269527973083,0.0020490770320319564,13
,gini,20,5,50,0.4606401803533768,0.002169876456087871,15
,gini,,20,50,0.46049504096763494,0.0015126334635748285,16
,gini,20,1,50,0.46038686252693245,0.0022881669333685234,17
,gini,20,20,50,0.46023303715900826,0.002162139989793215,18
,gini,,5,50,0.4599215682071122,0.0005202713452267259,19
,gini,,1,50,0.4576630383635834,0.0012749558304426417,20
,entropy,20,5,10,0.4569039371744171,0.0015498838721349994,21
,entropy,20,5,2,0.4569039371744171,0.0015498838721349994,21
,gini,20,5,10,0.45668836649960154,0.0017928448357325362,23
,gini,20,5,2,0.45668836649960154,0.0017928448357325362,23
,gini,20,1,10,0.4555279532848419,0.002045391435339412,25
,entropy,20,1,10,0.4545006841632418,0.0010220544951639642,26
,gini,20,1,2,0.4535002391175334,0.0024291473393377684,27
,entropy,20,1,2,0.453055051530228,0.0009023803291649945,28
,entropy,10,20,50,0.4479626525431443,0.001448216423252516,29
,entropy,10,20,2,0.4479197985643623,0.0015281450503416229,30
,entropy,10,20,10,0.4479197985643623,0.0015281450503416229,30
,entropy,10,5,10,0.44789697343687557,0.0016683401809834942,32
,entropy,10,5,2,0.44789697343687557,0.0016683401809834942,32
,entropy,10,5,50,0.44767370587014765,0.0013495561628047543,34
,entropy,10,1,10,0.4473116325930247,0.00142426921604045,35
,entropy,10,1,50,0.44725569766453316,0.0011083410316113857,36
,entropy,10,1,2,0.44723787958671735,0.001355175934253038,37
,gini,,5,10,0.44415314347552043,0.0008363525233490841,38
,gini,,5,2,0.44415314347552043,0.0008363525233490841,38
,entropy,,5,10,0.4417715147475055,0.0016793542083010796,40
,entropy,,5,2,0.4417715147475055,0.0016793542083010796,40
,gini,10,5,50,0.44006921975512586,0.0011975803710215407,42
,gini,10,5,10,0.44002761389600803,0.0014505369584754454,43
,gini,10,5,2,0.44002761389600803,0.0014505369584754454,43
,gini,10,1,50,0.4399975949643138,0.001378126777860054,45
,gini,10,1,10,0.4399571232343404,0.0016066876849915616,46
,gini,10,1,2,0.439933310669722,0.0015832391351356453,47
,gini,10,20,10,0.4392675465909653,0.0013793292648436927,48
,gini,10,20,2,0.4392675465909653,0.0013793292648436927,48
,gini,10,20,50,0.4390785764590566,0.001175621887642014,50
balanced,gini,20,1,2,0.43441043086235265,0.004631647454125952,51
balanced,gini,20,1,10,0.4334234388864208,0.004239350523855344,52
,gini,,1,10,0.432679972253258,0.0005005871929154176,53
,entropy,,1,10,0.43178211167684627,0.00112102888789189,54
balanced,gini,20,1,50,0.4315263269357558,0.002961820906963363,55
balanced,gini,20,5,10,0.4311963786264627,0.003597294493560408,56
balanced,gini,20,5,2,0.4311963786264627,0.003597294493560408,56
balanced,entropy,20,1,2,0.43086146111321805,0.0030134018096165224,58
balanced,gini,20,20,10,0.43047895188952007,0.0029316083884128727,59
balanced,gini,20,20,2,0.43047895188952007,0.0029316083884128727,59
balanced,entropy,20,1,10,0.43037896931357,0.0022545992264725156,61
balanced,gini,20,20,50,0.4303782807974626,0.0028357969104371933,62
balanced,gini,20,5,50,0.43026256733738605,0.0028331149726205924,63
balanced,entropy,20,5,10,0.42962796465823466,0.0018622669481644272,64
balanced,entropy,20,5,2,0.42962796465823466,0.0018622669481644272,64
balanced,entropy,20,20,10,0.4288717602391208,0.0018408835728286846,66
balanced,entropy,20,20,2,0.4288717602391208,0.0018408835728286846,66
balanced,entropy,20,20,50,0.42811725097772974,0.0018966345445038985,68
balanced,entropy,20,1,50,0.4280367075074787,0.002253953182133668,69
balanced,entropy,20,5,50,0.4276602902786124,0.0018853490219712067,70
,entropy,,1,2,0.42156791087686024,0.0014454714394382022,71
balanced,entropy,,1,2,0.4202750389459234,0.001855523603970079,72
,gini,,1,2,0.41931832569381866,0.0004298906314184841,73
balanced,gini,,1,2,0.419139055173715,0.00036128853390968705,74
balanced,gini,,5,10,0.41846840114658185,0.00017333555028490946,75
balanced,gini,,5,2,0.41846840114658185,0.00017333555028490946,75
balanced,gini,,20,10,0.4182857162000966,0.0004215490883665775,77
balanced,gini,,20,2,0.4182857162000966,0.0004215490883665775,77
balanced,gini,,20,50,0.4179297332649967,0.0002545223078482179,79
balanced,entropy,,5,10,0.4174576904273628,0.0005636240939554791,80
balanced,entropy,,5,2,0.4174576904273628,0.0005636240939554791,80
balanced,entropy,,1,10,0.41709220856590706,0.0009110013897109292,82
balanced,gini,,1,10,0.41695660322152833,0.0005131428187411955,83
balanced,gini,,1,50,0.4163415041667931,0.0010773276449315417,84
balanced,gini,,5,50,0.4159664531374805,0.0007022533744753485,85
balanced,entropy,,20,10,0.4144186906815041,0.00041243630908555605,86
balanced,entropy,,20,2,0.4144186906815041,0.00041243630908555605,86
balanced,entropy,,1,50,0.4131674356105088,0.0005020378841264948,88
balanced,entropy,,5,50,0.41293888576089594,0.00025615690668470215,89
balanced,entropy,,20,50,0.41276700855029125,9.385446166726425e-05,90
balanced,entropy,10,1,2,0.4117983880531823,0.0016881451880488441,91
balanced,entropy,10,1,10,0.4117007837850592,0.0017032302921693387,92
balanced,entropy,10,20,50,0.411605038359338,0.001425187150466821,93
balanced,entropy,10,20,2,0.4115961497384088,0.0013698857570302032,94
balanced,entropy,10,20,10,0.4115961497384088,0.0013698857570302032,94
balanced,entropy,10,5,10,0.4115872259038214,0.0016638052852131976,96
balanced,entropy,10,5,2,0.4115872259038214,0.0016638052852131976,96
balanced,entropy,10,1,50,0.41153186977552664,0.0017256802223475517,98
balanced,entropy,10,5,50,0.411498537811136,0.0016871753421928285,99
balanced,gini,10,1,2,0.4110460093768242,0.013202706749715356,100
balanced,gini,10,1,10,0.4109832859558733,0.013217795631960358,101
balanced,gini,10,1,50,0.41070933166073537,0.013078727196679477,102
balanced,gini,10,5,10,0.41066185837618635,0.013300230464836981,103
balanced,gini,10,5,2,0.41066185837618635,0.013300230464836981,103
balanced,gini,10,5,50,0.4104791394529507,0.013201980669489992,105
balanced,gini,10,20,10,0.41036002023140594,0.013242069832286228,106
balanced,gini,10,20,2,0.41036002023140594,0.013242069832286228,106
balanced,gini,10,20,50,0.41035601880016076,0.013245081526602222,108
balanced,gini,5,20,2,0.3838340914296648,0.015415354253832104,109
balanced,gini,5,20,10,0.3838340914296648,0.015415354253832104,109
balanced,gini,5,20,50,0.3838340914296648,0.015415354253832104,109
balanced,gini,5,5,2,0.3838230648481637,0.015425123529286053,112
balanced,gini,5,5,10,0.3838230648481637,0.015425123529286053,112
balanced,gini,5,5,50,0.3838230648481637,0.015425123529286053,112
balanced,gini,5,1,2,0.38381832820566425,0.015431810471833103,115
balanced,gini,5,1,50,0.38381832820566425,0.015431810471833103,115
balanced,gini,5,1,10,0.38381832820566425,0.015431810471833103,115
,gini,5,1,10,0.38311007706186695,0.002924109094225966,118
,gini,5,1,50,0.38311007706186695,0.002924109094225966,118
,gini,5,5,2,0.38311007706186695,0.002924109094225966,118
,gini,5,5,10,0.38311007706186695,0.002924109094225966,118
,gini,5,5,50,0.38311007706186695,0.002924109094225966,118
,gini,5,1,2,0.38311007706186695,0.002924109094225966,118
,gini,5,20,2,0.38310464767629715,0.002913207073437308,124
,gini,5,20,10,0.38310464767629715,0.002913207073437308,124
,gini,5,20,50,0.38310464767629715,0.002913207073437308,124
balanced,entropy,5,20,2,0.35803573707707387,0.0027790983532432613,127
balanced,entropy,5,20,10,0.35803573707707387,0.0027790983532432613,127
balanced,entropy,5,20,50,0.35803573707707387,0.0027790983532432613,127
balanced,entropy,5,5,10,0.35801713315491474,0.0027530327514282203,130
balanced,entropy,5,5,50,0.35801713315491474,0.0027530327514282203,130
balanced,entropy,5,5,2,0.35801713315491474,0.0027530327514282203,130
balanced,entropy,5,1,50,0.35801713315491474,0.0027530327514282203,130
balanced,entropy,5,1,10,0.35801713315491474,0.0027530327514282203,130
balanced,entropy,5,1,2,0.35801713315491474,0.0027530327514282203,130
,entropy,5,5,10,0.3502926465961152,0.003144077929987123,136
,entropy,5,5,2,0.3502926465961152,0.003144077929987123,136
,entropy,5,1,50,0.3502926465961152,0.003144077929987123,136
,entropy,5,1,10,0.3502926465961152,0.003144077929987123,136
,entropy,5,5,50,0.3502926465961152,0.003144077929987123,136
,entropy,5,1,2,0.3502926465961152,0.003144077929987123,136
,entropy,5,20,2,0.35027756654410463,0.0031308148385891864,142
,entropy,5,20,10,0.35027756654410463,0.0031308148385891864,142
,entropy,5,20,50,0.35027756654410463,0.0031308148385891864,142
